wandb_id,loss variation,w_pred,w_comp,w_diss,w_pen,w_res,run name,best valid MSE,best position MSE,best angular MSE,best penetration
ie0415_i2aks6bk,1,1.0,0.01,1.0,30.0,1.0,ie0415,16115.362397985335,0.07198717953118414,1.5868331401867537,0.012682438895648074
ie0416_olz5dr1f,1,1.0,0.01,1.0,100.0,1.0,ie0416,16197.938316760372,0.09902224360474916,2.004828562152725,0.01932220634721927
ie0417_1o9r8ptm,1,1.0,0.01,3.0,0.01,1.0,ie0417,13447.674549595095,0.08278118569712148,1.1204392665729457,0.013023053533687347
ie0418_m5pmp4uh,1,1.0,0.01,3.0,0.03,1.0,ie0418,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0419_uu9u0rvk,1,1.0,0.01,3.0,0.1,1.0,ie0419,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0420_vbqaddh8,1,1.0,0.01,3.0,0.3,1.0,ie0420,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0421_2akp9ov8,1,1.0,0.01,3.0,1.0,1.0,ie0421,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0422_g9vaey1l,1,1.0,0.01,3.0,3.0,1.0,ie0422,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0423_7c35hmm5,1,1.0,0.01,3.0,10.0,1.0,ie0423,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0424_3ilzxyu9,1,1.0,0.01,3.0,30.0,1.0,ie0424,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0425_igwx6fd5,1,1.0,0.01,3.0,100.0,1.0,ie0425,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0426_x0hp2zzu,1,1.0,0.01,10.0,0.01,1.0,ie0426,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0427_fi5gcif1,1,1.0,0.01,10.0,0.03,1.0,ie0427,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0428_p91sxu0h,1,1.0,0.01,10.0,0.1,1.0,ie0428,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0429_tn8bnfgy,1,1.0,0.01,10.0,0.3,1.0,ie0429,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0430_e02yfsz4,1,1.0,0.01,10.0,1.0,1.0,ie0430,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0431_c33gtffs,1,1.0,0.01,10.0,3.0,1.0,ie0431,12657.19422826265,0.07164886342224126,0.9749145735617246,0.015864735464669034
ie0432_t522dug8,1,1.0,0.01,10.0,10.0,1.0,ie0432,14349.54172058513,0.06403140093072933,1.382197964601985,0.014080991075713794
ie0433_oct207x8,1,1.0,0.01,10.0,30.0,1.0,ie0433,15003.137653078249,0.12510650037748144,1.5361754025073733,0.015996082859315815
ie0434_u07t1psh,1,1.0,0.01,10.0,100.0,1.0,ie0434,12643.066001626206,0.12707347028287105,1.1980755300393353,0.01330475941184021
ie0435_iqqbhq60,1,1.0,0.01,30.0,0.01,1.0,ie0435,12643.066001626206,0.12707347028287105,1.1980755300393353,0.01330475941184021
ie0436_vt1jlf8q,1,1.0,0.01,30.0,0.03,1.0,ie0436,16303.500080208494,0.11560492758753597,2.005961804513697,0.006800018035664839
ie0437_e9l7k0z7,1,1.0,0.01,30.0,0.1,1.0,ie0437,15183.204567575991,0.07859861791445737,1.1288532487571872,0.014099573929537108
ie0438_a8fc01e4,1,1.0,0.01,30.0,0.3,1.0,ie0438,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0439_3u2o3jgi,1,1.0,0.01,30.0,1.0,1.0,ie0439,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0440_lxr9u4ud,1,1.0,0.01,30.0,3.0,1.0,ie0440,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0441_f1ltzqx4,1,1.0,0.01,30.0,10.0,1.0,ie0441,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0442_jpmvvmtz,1,1.0,0.01,30.0,30.0,1.0,ie0442,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0443_nh4tovon,1,1.0,0.01,30.0,100.0,1.0,ie0443,16247.760972786662,0.061892544326646926,1.1423516850669766,0.013038800470939926
ie0444_cf4onlyp,1,1.0,0.01,100.0,0.01,1.0,ie0444,17121.623101663234,0.09563159152392187,1.7962757276062535,0.01881472816222806
ie0445_cfwonwpr,1,1.0,0.01,100.0,0.03,1.0,ie0445,17121.623101663234,0.09563159152392187,1.7962757276062535,0.01881472816222806
ie0446_hdtkhu2k,1,1.0,0.01,100.0,0.1,1.0,ie0446,17444.58474347593,0.07680783097961758,1.1997315439288443,0.016114689022017327
ie0447_yyrrzpqa,1,1.0,0.01,100.0,0.3,1.0,ie0447,14783.645031317796,0.06375012151989597,1.3219110140288903,0.01823774423633643
ie0448_ozlx2jwg,1,1.0,0.01,100.0,1.0,1.0,ie0448,13376.937210143282,0.0962267912661294,1.4047572649896012,0.020108575585333334
ie0449_6ob8dskc,1,1.0,0.01,100.0,3.0,1.0,ie0449,16076.463321178535,0.09228016629587128,1.2436637638099566,0.01564281303921286
ie0450_hg6dim1n,1,1.0,0.01,100.0,10.0,1.0,ie0450,11654.869201264646,0.06399413878849944,1.662443027839473,0.017663018411312355
ie0451_jk51pbu5,1,1.0,0.01,100.0,30.0,1.0,ie0451,13765.895635930652,0.07389624456018543,1.0195303046497273,0.018871643256493615
ie0452_6cd0ofb2,1,1.0,0.01,100.0,100.0,1.0,ie0452,18007.655181367914,0.07653743543215155,1.7085948943977456,0.020471826873155095
ie0453_t3vi2b46,1,1.0,0.03,0.01,0.01,1.0,ie0453,14098.40195095917,0.0889357097005659,1.5031242387226698,0.003004349411130533
ie0454_h1ndlcnz,1,1.0,0.03,0.01,0.03,1.0,ie0454,19969.698841809317,0.050414574545100996,1.4807095591031414,0.0030568386996625884
ie0455_mev32h23,1,1.0,0.03,0.01,0.1,1.0,ie0455,14494.822020455638,0.04472406591907561,1.3400515219245066,0.0052357941500946
ie0456_y8gyyvzz,1,1.0,0.03,0.01,0.3,1.0,ie0456,12541.484340770136,0.0657369308204215,1.0982320708690092,0.01132048367048498
ie0457_kjaes5nq,1,1.0,0.03,0.01,1.0,1.0,ie0457,12756.617243824176,0.056073546588854786,1.0834337698604999,0.005786884638358324
ie0458_v8jf0v0u,1,1.0,0.03,0.01,3.0,1.0,ie0458,15894.51574869678,0.06797380484189565,1.5513683310756936,0.006399479069821044
