wandb_id,run name,loss variation,w_comp,w_diss,w_pen
ie0190_oo1x9qaf,ie0190,2,1.0,1.0,100.0
ie0191_qpvsbnm1,ie0191,3,1.0,1.0,100.0
ie0192_vax6st5g,ie0192,1,1.0,10.0,0.01
ie0193_ch053df2,ie0193,2,1.0,10.0,0.01
ie0194_frx1a0wa,ie0194,3,1.0,10.0,0.01
ie0195_dlwb3cb5,ie0195,1,1.0,10.0,0.1
ie0196_zs8vy4nv,ie0196,2,1.0,10.0,0.1
ie0197_80gjk2m4,ie0197,3,1.0,10.0,0.1
ie0198_2pcvymn1,ie0198,1,1.0,10.0,1.0
ie0199_ehvb1vx3,ie0199,2,1.0,10.0,1.0
ie0200_b3paz7ay,ie0200,3,1.0,10.0,1.0
ie0201_vs5uhzu1,ie0201,1,1.0,10.0,10.0
ie0202_q30orz2w,ie0202,2,1.0,10.0,10.0
ie0203_m3flylrg,ie0203,3,1.0,10.0,10.0
ie0204_uygj7c09,ie0204,1,1.0,10.0,100.0
ie0205_3ncuo351,ie0205,2,1.0,10.0,100.0
ie0206_9pftochr,ie0206,3,1.0,10.0,100.0
ie0207_4jb62yqj,ie0207,1,1.0,100.0,0.01
ie0208_ea2ve9d2,ie0208,2,1.0,100.0,0.01
ie0209_lnanvb3g,ie0209,3,1.0,100.0,0.01
ie0210_fdv6uj8c,ie0210,1,1.0,100.0,0.1
ie0211_lzg3slyl,ie0211,2,1.0,100.0,0.1
ie0212_iibs79bj,ie0212,3,1.0,100.0,0.1
ie0213_ni84lmn7,ie0213,1,1.0,100.0,1.0
ie0214_zqoo9dr0,ie0214,2,1.0,100.0,1.0
ie0215_057dl3qw,ie0215,3,1.0,100.0,1.0
ie0216_2tzs0ulb,ie0216,1,1.0,100.0,10.0
ie0217_4gcxd26j,ie0217,2,1.0,100.0,10.0
ie0218_l33ryzhx,ie0218,3,1.0,100.0,10.0
ie0219_ikl3t8uc,ie0219,1,1.0,100.0,100.0
ie0220_rjo2uooe,ie0220,2,1.0,100.0,100.0
ie0221_wszpx06w,ie0221,3,1.0,100.0,100.0
ie0222_d5jv5cj6,ie0222,1,10.0,0.01,0.01
ie0223_u0drw7s9,ie0223,2,10.0,0.01,0.01
ie0224_o6ygslsx,ie0224,3,10.0,0.01,0.01
ie0225_678huwv0,ie0225,1,10.0,0.01,0.1
ie0226_6xx8afjp,ie0226,2,10.0,0.01,0.1
ie0227_gkhjyexb,ie0227,3,10.0,0.01,0.1
ie0228_3vc7rd6a,ie0228,1,10.0,0.01,1.0
ie0229_unk1vc0p,ie0229,2,10.0,0.01,1.0
ie0230_fxkr29lk,ie0230,3,10.0,0.01,1.0
ie0231_ewzz99xy,ie0231,1,10.0,0.01,10.0
ie0232_jnod56gb,ie0232,2,10.0,0.01,10.0
ie0233_hll86nb5,ie0233,3,10.0,0.01,10.0
ie0234_4dm9be1b,ie0234,1,10.0,0.01,100.0
ie0235_2zl8dfri,ie0235,2,10.0,0.01,100.0
ie0236_00zg2zru,ie0236,3,10.0,0.01,100.0
ie0237_g1l1oqou,ie0237,1,10.0,0.1,0.01
ie0238_fm2n236h,ie0238,2,10.0,0.1,0.01
ie0239_g99xw1hk,ie0239,3,10.0,0.1,0.01
ie0240_pl25rwhl,ie0240,1,10.0,0.1,0.1
ie0241_bphj6if8,ie0241,2,10.0,0.1,0.1
ie0242_0078n28a,ie0242,3,10.0,0.1,0.1
ie0243_tjhg8cy9,ie0243,1,10.0,0.1,1.0
ie0244_gutovun4,ie0244,2,10.0,0.1,1.0
ie0245_9czd0432,ie0245,3,10.0,0.1,1.0
ie0246_ghq9pcio,ie0246,1,10.0,0.1,10.0
ie0247_h1iyavrn,ie0247,2,10.0,0.1,10.0
ie0248_t11nayum,ie0248,3,10.0,0.1,10.0
ie0249_asixjr78,ie0249,1,10.0,0.1,100.0
ie0250_x9l4ofs5,ie0250,2,10.0,0.1,100.0
ie0251_ejvaa0ay,ie0251,3,10.0,0.1,100.0
ie0252_qbw89ui6,ie0252,1,10.0,1.0,0.01
ie0253_ixbi4sur,ie0253,2,10.0,1.0,0.01
ie0254_kftqy32l,ie0254,3,10.0,1.0,0.01
ie0255_xqdzh3nr,ie0255,1,10.0,1.0,0.1
ie0256_nvi4hw0f,ie0256,2,10.0,1.0,0.1
ie0257_xavcarhj,ie0257,3,10.0,1.0,0.1
ie0258_h56yajwd,ie0258,1,10.0,1.0,1.0
ie0259_x7cdpxo5,ie0259,2,10.0,1.0,1.0
ie0260_d5ocy55k,ie0260,3,10.0,1.0,1.0
ie0261_hc21wjnz,ie0261,1,10.0,1.0,10.0
ie0262_jptrfw8f,ie0262,2,10.0,1.0,10.0
ie0263_oyyqzjrv,ie0263,3,10.0,1.0,10.0
ie0264_xg2hkrn9,ie0264,1,10.0,1.0,100.0
ie0265_eetawpj3,ie0265,2,10.0,1.0,100.0
ie0266_h3qrd62k,ie0266,3,10.0,1.0,100.0
ie0267_9li0ecj1,ie0267,1,10.0,10.0,0.01
ie0268_tuasacrz,ie0268,2,10.0,10.0,0.01
ie0269_br62e2z6,ie0269,3,10.0,10.0,0.01
ie0270_zz0facbq,ie0270,1,10.0,10.0,0.1
ie0271_gxuzn4ds,ie0271,2,10.0,10.0,0.1
ie0272_ikjcnjhe,ie0272,3,10.0,10.0,0.1
ie0273_lppeehwt,ie0273,1,10.0,10.0,1.0
ie0274_3u7bj31r,ie0274,2,10.0,10.0,1.0
ie0275_4tgd7laj,ie0275,3,10.0,10.0,1.0
ie0276_st1vm6jl,ie0276,1,10.0,10.0,10.0
ie0277_1u9777gc,ie0277,2,10.0,10.0,10.0
ie0278_i5pupvs7,ie0278,3,10.0,10.0,10.0
ie0279_j2tnuxfm,ie0279,1,10.0,10.0,100.0
ie0280_zcvu84g9,ie0280,2,10.0,10.0,100.0
ie0281_sqy8dx9p,ie0281,3,10.0,10.0,100.0
ie0282_i5zb707a,ie0282,1,10.0,100.0,0.01
ie0283_284uoem9,ie0283,2,10.0,100.0,0.01
ie0284_2y8mraz8,ie0284,3,10.0,100.0,0.01
ie0285_demlh6ps,ie0285,1,10.0,100.0,0.1
ie0286_tyvb08ri,ie0286,2,10.0,100.0,0.1
ie0287_z3ykwgct,ie0287,3,10.0,100.0,0.1
ie0288_knh52skt,ie0288,1,10.0,100.0,1.0
ie0289_j6066w63,ie0289,2,10.0,100.0,1.0
ie0290_3dtbfuzk,ie0290,3,10.0,100.0,1.0
ie0291_eg1u2ukv,ie0291,1,10.0,100.0,10.0
ie0292_79qib3vz,ie0292,2,10.0,100.0,10.0
ie0293_e3uswe6z,ie0293,3,10.0,100.0,10.0
ie0294_588p4zu1,ie0294,1,10.0,100.0,100.0
ie0295_yoqq5fwb,ie0295,2,10.0,100.0,100.0
ie0296_urr4vwxj,ie0296,3,10.0,100.0,100.0
ie0297_i8w9s2lc,ie0297,1,100.0,0.01,0.01
ie0298_900cu2o6,ie0298,2,100.0,0.01,0.01
ie0299_2n13f47m,ie0299,3,100.0,0.01,0.01
ie0300_x8ijnc1s,ie0300,1,100.0,0.01,0.1
ie0301_v0ya2f4o,ie0301,2,100.0,0.01,0.1
ie0302_7h2ffr3l,ie0302,3,100.0,0.01,0.1
ie0303_0lrc7b83,ie0303,1,100.0,0.01,1.0
ie0304_fnwsyshh,ie0304,2,100.0,0.01,1.0
ie0305_13vbeug6,ie0305,3,100.0,0.01,1.0
ie0306_h9pzcwlb,ie0306,1,100.0,0.01,10.0
ie0307_cnz7kjab,ie0307,2,100.0,0.01,10.0
ie0308_08aayam5,ie0308,3,100.0,0.01,10.0
ie0309_abqpr3ql,ie0309,1,100.0,0.01,100.0
ie0310_lrvnq0nk,ie0310,2,100.0,0.01,100.0
ie0311_spxf670w,ie0311,3,100.0,0.01,100.0
ie0312_jvrhy0oc,ie0312,1,100.0,0.1,0.01
ie0313_lcvzr12m,ie0313,2,100.0,0.1,0.01
ie0314_tkaxzadu,ie0314,3,100.0,0.1,0.01
ie0315_kgza1lyh,ie0315,1,100.0,0.1,0.1
ie0316_ru6h5ron,ie0316,2,100.0,0.1,0.1
ie0317_qmd7dj1h,ie0317,3,100.0,0.1,0.1
ie0318_vx1nnjln,ie0318,1,100.0,0.1,1.0
ie0319_m3gxl0xj,ie0319,2,100.0,0.1,1.0
ie0320_92iehlra,ie0320,3,100.0,0.1,1.0
ie0321_ib9258db,ie0321,1,100.0,0.1,10.0
ie0322_7qwjdmni,ie0322,2,100.0,0.1,10.0
ie0323_93hmfgji,ie0323,3,100.0,0.1,10.0
ie0324_p1yvd00i,ie0324,1,100.0,0.1,100.0
ie0325_x3tyojhs,ie0325,2,100.0,0.1,100.0
ie0326_f3377vw6,ie0326,3,100.0,0.1,100.0
ie0327_at55vig8,ie0327,1,100.0,1.0,0.01
ie0328_44oxo8lq,ie0328,2,100.0,1.0,0.01
ie0329_tgusp2so,ie0329,3,100.0,1.0,0.01
ie0330_qf6ed6kk,ie0330,1,100.0,1.0,0.1
ie0331_1yybi3y7,ie0331,2,100.0,1.0,0.1
ie0332_q9yv6eec,ie0332,3,100.0,1.0,0.1
ie0333_b9dtx7zb,ie0333,1,100.0,1.0,1.0
ie0334_dzs1e0sf,ie0334,2,100.0,1.0,1.0
ie0335_isu5g8aa,ie0335,3,100.0,1.0,1.0
ie0336_y32rc1k4,ie0336,1,100.0,1.0,10.0
ie0337_mrlpw9s2,ie0337,2,100.0,1.0,10.0
ie0338_sihvwyy9,ie0338,3,100.0,1.0,10.0
ie0339_lfr66soq,ie0339,1,100.0,1.0,100.0
ie0340_q3v2pkg9,ie0340,2,100.0,1.0,100.0
ie0341_gu7injrt,ie0341,3,100.0,1.0,100.0
ie0342_nb0hdd22,ie0342,1,100.0,10.0,0.01
ie0343_d1o9ue12,ie0343,2,100.0,10.0,0.01
ie0344_c5y3dr7e,ie0344,3,100.0,10.0,0.01
ie0345_n8edyrcy,ie0345,1,100.0,10.0,0.1
ie0346_gyzauue3,ie0346,2,100.0,10.0,0.1
ie0347_wxn7ht6i,ie0347,3,100.0,10.0,0.1
ie0348_b2yk7lsq,ie0348,1,100.0,10.0,1.0
ie0349_yv0skp59,ie0349,2,100.0,10.0,1.0
ie0350_muizzgaf,ie0350,3,100.0,10.0,1.0
ie0351_jej2hr6o,ie0351,1,100.0,10.0,10.0
ie0352_j5zx85ln,ie0352,2,100.0,10.0,10.0
ie0353_in46sixm,ie0353,3,100.0,10.0,10.0
ie0354_6py0945j,ie0354,1,100.0,10.0,100.0
ie0355_ji1upvo1,ie0355,2,100.0,10.0,100.0
ie0356_ri3efjxr,ie0356,3,100.0,10.0,100.0
ie0357_85it55zp,ie0357,1,100.0,100.0,0.01
ie0358_jyp5byaj,ie0358,2,100.0,100.0,0.01
ie0359_cfffs1sy,ie0359,3,100.0,100.0,0.01
ie0360_qo8yexhu,ie0360,1,100.0,100.0,0.1
ie0361_ttbk51e8,ie0361,2,100.0,100.0,0.1
ie0362_w51na8nv,ie0362,3,100.0,100.0,0.1
ie0363_j40e7928,ie0363,1,100.0,100.0,1.0
ie0364_m201ngsh,ie0364,2,100.0,100.0,1.0
ie0365_7660zdgd,ie0365,3,100.0,100.0,1.0
ie0366_9n8gkgbe,ie0366,1,100.0,100.0,10.0
ie0367_sy9mu96o,ie0367,2,100.0,100.0,10.0
ie0368_gyzj7tki,ie0368,3,100.0,100.0,10.0
ie0369_gd2vqr9j,ie0369,1,100.0,100.0,100.0
ie0370_q427jecr,ie0370,2,100.0,100.0,100.0
ie0371_lpccac8n,ie0371,3,100.0,100.0,100.0
