wandb_id,run name,loss variation,w_comp,w_diss,w_pen
2lc3dcup,he0092,3,0.1,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0092.txt
ai1oj7gc,he0093,1,0.1,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0093.txt
cqrh5g4q,he0094,2,0.1,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0094.txt
x2spej8o,he0095,3,0.1,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0095.txt
ypa19z9x,he0096,1,0.1,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0096.txt
hg1lz007,he0097,2,0.1,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0097.txt
yp2i638u,he0098,3,0.1,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0098.txt
0c9ww1f2,he0099,1,0.1,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0099.txt
wtear9du,he0100,2,0.1,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0100.txt
bk7f630a,he0101,3,0.1,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0101.txt
ppv5k5zg,he0102,1,0.1,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0102.txt
kdc3s38y,he0103,2,0.1,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0103.txt
pycaoyk6,he0104,3,0.1,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0104.txt
hnb3gxr1,he0105,1,0.1,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0105.txt
7gyn5uqt,he0106,2,0.1,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0106.txt
1wx85s1x,he0107,3,0.1,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0107.txt
arxo3a6z,he0108,1,0.1,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0108.txt
5jx44tvn,he0109,2,0.1,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0109.txt
bj167g8h,he0110,3,0.1,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0110.txt
sikic97q,he0111,1,0.1,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0111.txt
rbtkrzh6,he0112,2,0.1,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0112.txt
dtrqc4q2,he0113,3,0.1,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0113.txt
qnignbxp,he0114,1,0.1,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0114.txt
e4t7hzvg,he0115,2,0.1,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0115.txt
qknh4han,he0116,3,0.1,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0116.txt
cdtkfxo6,he0117,1,0.1,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0117.txt
8uazx724,he0118,2,0.1,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0118.txt
ttwegi9t,he0119,3,0.1,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0119.txt
1553um6d,he0120,1,0.1,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0120.txt
chi55yev,he0121,2,0.1,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0121.txt
h0uxfcm6,he0122,3,0.1,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0122.txt
1gwgoe01,he0123,1,0.1,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0123.txt
cm3j3psw,he0124,2,0.1,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0124.txt
a4i5jy3w,he0125,3,0.1,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0125.txt
i28x7s8p,he0126,1,0.1,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0126.txt
u3f0rpyp,he0127,2,0.1,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0127.txt
