wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE,best position MSE,best angular MSE,best penetration
ie0057_3c1mqgxk,ie0057,1,0.01,10.0,100.0,14436.12404586047,0.07884068744692978,1.3746365841161035,0.0038864075294206754
ie0058_r1k59xe4,ie0058,2,0.01,10.0,100.0,17242.61224228828,0.09209007534975797,1.639779338157249,0.021610249326843058
ie0059_ims8abvy,ie0059,3,0.01,10.0,100.0,15994.224253918866,0.0863858414801171,1.3767510759091932,0.011084835709614554
ie0060_jxrpnuee,ie0060,1,0.01,100.0,0.01,8674.297400146846,0.08426166552447596,0.8466317537918376,0.010308180587465736
ie0061_oe43rwfe,ie0061,2,0.01,100.0,0.01,17997.065126319998,0.09181316521213059,1.4789308963056262,0.011088147338567587
ie0062_zpbxk9nf,ie0062,3,0.01,100.0,0.01,23753.629737150473,0.12416269136032346,1.7033071499405068,0.0
ie0063_ap68hcjv,ie0063,1,0.01,100.0,0.1,12000.457248551098,0.07080835385981195,1.1459185643025338,0.010590733338097371
ie0064_yw8o8hiu,ie0064,2,0.01,100.0,0.1,17007.96999538926,0.08071796855948575,1.4466994849856811,0.011242452363860993
ie0065_8sjx095l,ie0065,3,0.01,100.0,0.1,17199.878560273843,0.08672064778081232,1.4522107430316502,0.011241822834438493
ie0066_hawp4crx,ie0066,1,0.01,100.0,1.0,16494.1545760509,0.07256502722658076,1.544908629497661,0.009997803098744137
ie0067_pkj4yfyk,ie0067,2,0.01,100.0,1.0,16809.742636602357,0.1470614375455036,1.5879856389120213,0.001555784500897633
ie0068_j5ekp40u,ie0068,3,0.01,100.0,1.0,16643.395474825666,0.08932352734574328,1.4904384398984334,0.010899015217070863
ie0069_bi9f32u0,ie0069,1,0.01,100.0,10.0,16518.72682444893,0.09717282297945146,1.282730643750218,0.010537345954089814
ie0070_3jcr8cnb,ie0070,2,0.01,100.0,10.0,18033.0748918379,0.08522518812768905,1.492323577168974,0.011127663472996145
ie0071_nbxizhwa,ie0071,3,0.01,100.0,10.0,16685.540367544054,0.13219903538933264,1.4618282317106477,0.005439195044867808
ie0072_wjmlan25,ie0072,1,0.01,100.0,100.0,20188.016177968962,0.09834316457518023,1.4866293395312202,0.010386867372131025
ie0073_jhi4m9k6,ie0073,2,0.01,100.0,100.0,16874.15246562301,0.13367608302224232,1.6348562250069514,0.0015972954161726336
ie0074_ns4btgrk,ie0074,3,0.01,100.0,100.0,19130.605317617898,0.11537430099886231,1.5893864443547092,0.016853719678845597
ie0075_ww3nkyqr,ie0075,1,0.1,0.01,0.01,11439.769994171462,0.08988853576666561,1.1540961081780854,0
ie0076_vtclw21t,ie0076,2,0.1,0.01,0.01,17526.983972670056,0.10259897014434552,1.5579723873727538,0.015531172190408043
ie0077_lvshp6w2,ie0077,3,0.1,0.01,0.01,11169.098654219399,0.07517686975232189,1.1430073570139148,0.0002576475707187513
ie0078_1vg3iimv,ie0078,1,0.1,0.01,0.1,12337.651412794285,0.05638814825658296,1.3875110926371899,0
ie0079_nm7rga57,ie0079,2,0.1,0.01,0.1,16289.933754078103,0.12373399578529543,1.638792096133156,0.0013691731072599856
ie0080_kl0adts7,ie0080,3,0.1,0.01,0.1,16593.565248057166,0.08514461487654676,1.4287542884049225,0.010939912074473238
ie0081_0oso2yyy,ie0081,1,0.1,0.01,1.0,14566.371025874887,0.036123991104002794,1.5821708584250047,0
ie0082_qnc4vfi3,ie0082,2,0.1,0.01,1.0,17043.664726978808,0.08501473312448582,1.5174123043205334,0.017345523128895625
ie0083_sjy9ycve,ie0083,3,0.1,0.01,1.0,17572.258110786133,0.08813962631520512,1.502157908178968,0.011245358427359006
ie0084_wboyaib7,ie0084,1,0.1,0.01,10.0,12161.48263753587,0.043791285695241926,1.0043400177666038,0
ie0085_u09x8r65,ie0085,2,0.1,0.01,10.0,17014.169410048176,0.08720106176517606,1.5077448694759341,0.011255436243854942
ie0086_xww8pm1m,ie0086,3,0.1,0.01,10.0,21397.418555628934,0.08049016679292612,1.7528003167850814,0.000754671525224778
ie0087_yppd44zo,ie0087,1,0.1,0.01,100.0,9683.356425982645,0.048338336979374036,1.3277340888491862,0.00011863256617587173
ie0088_0d6hhbwp,ie0088,2,0.1,0.01,100.0,16725.33543768114,0.10617557355683525,1.5545674873047384,0.016039362263965413
ie0089_av0myo79,ie0089,3,0.1,0.01,100.0,16667.7903467266,0.07391401169048127,1.5382554183189467,0.0001762107271299791
ie0090_iqgl49js,ie0090,1,0.1,0.1,0.01,16473.573776556645,0.040105475244679833,1.2165133330463236,0
ie0091_mjw5z94a,ie0091,2,0.1,0.1,0.01,16107.069517220902,0.11490270765434418,1.5853322719372143,0.001720833208488919
ie0092_db46r21u,ie0092,3,0.1,0.1,0.01,14268.157456075549,0.052561915054779376,1.2066159554700597,0.00022566122172622505
ie0093_3v9171l1,ie0093,1,0.1,0.1,0.1,16273.573481882102,0.06192998777166696,1.6539037757707793,0
ie0094_bs3043dw,ie0094,2,0.1,0.1,0.1,16861.187981233612,0.08070742466578604,1.4394335500445783,0.011155799585311689
ie0095_ydhq3qs6,ie0095,3,0.1,0.1,0.1,15403.22038572174,0.0705314374723319,1.5199999737439178,0
