wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE
a3g3u4yr,he0131,3,0.1,10.0,10.0,18090.620007788188
46ydaxta,he0132,1,0.1,10.0,100.0,15845.706600601461
5hid0p4j,he0133,2,0.1,10.0,100.0,13081.79797121426
4pbp0drp,he0134,3,0.1,10.0,100.0,13572.92497480788
hctylsnw,he0135,1,0.1,100.0,0.01,21922.174687359722
xp7nynir,he0136,2,0.1,100.0,0.01,10764.659872078792
ditc7ubf,he0137,3,0.1,100.0,0.01,10436.170617626629
zenjgvgb,he0138,1,0.1,100.0,0.1,9713.057732998797
6914rz4w,he0139,2,0.1,100.0,0.1,10971.543445001069
aiii3tbf,he0140,3,0.1,100.0,0.1,10271.527930888817
wyhxoa3i,he0141,1,0.1,100.0,1.0,5872.238835024053
sswyu5mx,he0142,2,0.1,100.0,1.0,14888.366990394064
7pnfe7mk,he0143,3,0.1,100.0,1.0,11063.840700993751
405xvbvf,he0144,1,0.1,100.0,10.0,7970.556162206191
7lajs6wf,he0145,2,0.1,100.0,10.0,12540.692186191416
oyf4oncp,he0146,3,0.1,100.0,10.0,11107.347449688403
wvfs4t54,he0147,1,0.1,100.0,100.0,4744.051623182155
50bn94ps,he0148,2,0.1,100.0,100.0,10349.822515642169
bjzolbcx,he0149,3,0.1,100.0,100.0,12295.896048790444
li3tm6z1,he0150,1,1.0,0.01,0.01,2107.853512232394
xjvrvfuw,he0151,2,1.0,0.01,0.01,11592.432408429186
0d2rmw5m,he0152,3,1.0,0.01,0.01,14146.705488943247
o3m3ttkd,he0153,1,1.0,0.01,0.1,7263.56203889434
egm4gd2s,he0154,2,1.0,0.01,0.1,10550.076706001728
sgc0v7ip,he0155,3,1.0,0.01,0.1,14196.508509618976
ab4scub9,he0156,1,1.0,0.01,1.0,4038.3177263852617
9dgq4iyt,he0157,2,1.0,0.01,1.0,11018.660607959699
y7cr3bil,he0158,3,1.0,0.01,1.0,13584.538389873673
k88rvt94,he0159,1,1.0,0.01,10.0,8741.20161238196
28p3gaj3,he0160,2,1.0,0.01,10.0,11739.590386776403
7sxp2rjo,he0161,3,1.0,0.01,10.0,15070.916172625608
1bdf8f6q,he0162,1,1.0,0.01,100.0,5549.464343735445
o6ih6q3i,he0163,2,1.0,0.01,100.0,11407.423203856413
mymrlwya,he0164,3,1.0,0.01,100.0,14864.501233342862
ebyloidl,he0165,1,1.0,0.1,0.01,5532.0172309217105
6wj9v6vq,he0166,2,1.0,0.1,0.01,11452.969241081077
gwiu44j6,he0167,3,1.0,0.1,0.01,13707.33646906137
snrp6rk2,he0168,1,1.0,0.1,0.1,6005.785864206706
ey5hq520,he0169,2,1.0,0.1,0.1,11206.590538402388
iphwwdki,he0170,3,1.0,0.1,0.1,10957.878458330055
jyv0mloe,he0171,1,1.0,0.1,1.0,9058.373006321017
35zd9qz8,he0172,2,1.0,0.1,1.0,10915.002413541872
id11gpf7,he0173,3,1.0,0.1,1.0,18179.577316532595
7lmqqzdi,he0174,1,1.0,0.1,10.0,3288.809932872523
757l7h1a,he0175,2,1.0,0.1,10.0,13652.880396829209
gmlc2uhg,he0176,3,1.0,0.1,10.0,12475.791736749967
vrf20ox2,he0177,1,1.0,0.1,100.0,7953.76401874368
n5kir5ne,he0178,2,1.0,0.1,100.0,10291.030684139952
y3lyjgja,he0179,3,1.0,0.1,100.0,21833.852613712494
qduwidha,he0180,1,1.0,1.0,0.01,3586.06680546046
ts96scb4,he0181,2,1.0,1.0,0.01,10425.895267004158
bvfyrk8b,he0182,3,1.0,1.0,0.01,23257.374273644054
4n0njc6o,he0183,1,1.0,1.0,0.1,3553.2320001611247
bbkuutx3,he0184,2,1.0,1.0,0.1,11764.672801412882
036obvjr,he0185,3,1.0,1.0,0.1,10379.62386594349
7wgs7tj4,he0186,1,1.0,1.0,10.0,4498.958517673665
285iyj5c,he0187,2,1.0,1.0,10.0,14355.203948680399
yr4mz2fr,he0188,3,1.0,1.0,10.0,10634.398831372928
in5n4cvb,he0189,1,1.0,1.0,100.0,3192.9502824022406
twp2y1vz,he0190,2,1.0,1.0,100.0,13020.867527324119
5mlpj043,he0191,3,1.0,1.0,100.0,10879.92007748079
v9o6zals,he0192,1,1.0,10.0,0.01,11879.056505955814
dx0wuqug,he0193,2,1.0,10.0,0.01,10860.286861182132
shed39tr,he0194,3,1.0,10.0,0.01,10207.710306479861
ci9npsyk,he0195,1,1.0,10.0,0.1,7396.290499072253
irfvd2no,he0196,2,1.0,10.0,0.1,11173.036443151592
8onfic94,he0197,3,1.0,10.0,0.1,14465.093967847579
z5v4qehf,he0198,1,1.0,10.0,1.0,10289.324481692107
l23p9kuo,he0199,2,1.0,10.0,1.0,13403.927727103299
c36r4iqr,he0200,3,1.0,10.0,1.0,10303.905043602128
sbr4cxpg,he0201,1,1.0,10.0,10.0,6533.789471460255
uwa2c8at,he0202,2,1.0,10.0,10.0,11617.46699031484
ktjvbby9,he0203,3,1.0,10.0,10.0,10272.390880384974
9ph6ptcx,he0204,1,1.0,10.0,100.0,8215.531722711226
sn6st8co,he0205,2,1.0,10.0,100.0,13780.265131544715
0azhy0pq,he0206,3,1.0,10.0,100.0,10703.17513045748
hs6qnrvg,he0207,1,1.0,100.0,0.01,9764.052243027128
nhnwrfw0,he0208,2,1.0,100.0,0.01,10739.034216265087
tzkfuyq5,he0209,3,1.0,100.0,0.01,9719.162231126527
dlrjg8ek,he0210,1,1.0,100.0,0.1,9348.97765393124
hygzoevx,he0211,2,1.0,100.0,0.1,10666.649148955612
oynok8et,he0212,3,1.0,100.0,0.1,6691.418535560724
jd5ckqb2,he0213,1,1.0,100.0,1.0,18652.430754220848
6xmubmx9,he0214,2,1.0,100.0,1.0,11544.666981950391
gfax6fk1,he0215,3,1.0,100.0,1.0,11025.577604757254
et1yi3lc,he0216,1,1.0,100.0,10.0,5922.813249743665
dtlm5sy4,he0217,2,1.0,100.0,10.0,10343.487226034591
3vqcmurd,he0218,3,1.0,100.0,10.0,12547.120426898096
25b23nzj,he0219,1,1.0,100.0,100.0,5723.44634459019
dx7rgmqj,he0220,2,1.0,100.0,100.0,11948.818412157778
gxr448d3,he0221,3,1.0,100.0,100.0,12398.200795617255
doen01qs,he0222,1,10.0,0.01,0.01,8035.168366851518
4zdn6iv4,he0223,2,10.0,0.01,0.01,14867.908332927509
9pc3tvpa,he0224,3,10.0,0.01,0.01,10977.896249329571
26iazz4l,he0225,1,10.0,0.01,0.1,4336.676957441873
hcapxeyf,he0226,2,10.0,0.01,0.1,11698.91431566324
vf8t80or,he0227,3,10.0,0.01,0.1,8015.067367664608
sp9opj5n,he0228,1,10.0,0.01,1.0,5388.843173834646
zarp3tfb,he0229,2,10.0,0.01,1.0,15237.579723367096
7kgzyhd0,he0230,3,10.0,0.01,1.0,10695.091224631671
0hh6t8l6,he0231,1,10.0,0.01,10.0,3831.5527903034877
dcvznwl1,he0232,2,10.0,0.01,10.0,15464.889568493403
7zqzxmw0,he0233,3,10.0,0.01,10.0,11766.101112937726
romf5zu8,he0234,1,10.0,0.01,100.0,3595.9435568085332
f1n1zfeb,he0235,2,10.0,0.01,100.0,13682.740723577397
gq1npgpk,he0236,3,10.0,0.01,100.0,11966.673664507873
4pw4h07y,he0237,1,10.0,0.1,0.01,3851.054543797555
gcm9lp0g,he0238,2,10.0,0.1,0.01,10014.477408955581
wb9jn4l8,he0239,3,10.0,0.1,0.01,14646.531526830953
jyvoz2i5,he0240,1,10.0,0.1,0.1,7103.4770925788125
